CH_L,CH_R,,CH_L,CH_R
0.74025,-0.74025,,,
-0.98717,0.98717,,,
0.91441,-0.91441,,,
-0.54557,0.54557,,,
9.71E-05,-9.71E-05,,,
0.54555,-0.54555,,,
-0.9144,0.9144,,,
0.9872,-0.9872,,,
-0.74026,0.74026,,,
0.25368,-0.25368,,,
0.31503,-0.31503,,,
-0.78185,0.78185,,,
0.99538,-0.99538,,,
-0.88664,0.88664,,,
0.49069,-0.49069,,,
0.064049,-0.064049,,,
-0.59805,0.59805,,,
0.93848,-0.93848,,,
-0.97493,0.97493,,,
0.69573,-0.69573,,,
-0.19111,0.19111,,,
-0.37526,0.37526,,,
0.82013,-0.82013,,,
-0.99949,0.99949,,,
0.85515,-0.85515,,,
-0.43394,0.43394,,,
-0.12793,0.12793,,,
0.64823,-0.64823,,,
-0.95865,0.95865,,,
0.95865,-0.95865,,,
-0.64823,0.64823,,,
0.12793,-0.12793,,,
0.43394,-0.43394,,,
-0.85515,0.85515,,,
0.99949,-0.99949,,,
-0.82013,0.82013,,,
0.37526,-0.37526,,,
0.19112,-0.19112,,,
-0.69561,0.69561,,,
0.97493,-0.97493,,,
-0.93848,0.93848,,,
0.59819,-0.59819,,,
-0.064048,0.064048,,,
-0.49069,0.49069,,,
0.88656,-0.88656,,,
-0.99538,0.99538,,,
0.78185,-0.78185,,,
-0.31519,0.31519,,,
-0.25369,0.25369,,,
0.74026,-0.74026,,,
-0.98717,0.98717,,,
0.9144,-0.9144,,,
-0.54555,0.54555,,,
7.59E-05,-7.59E-05,,,
0.54557,-0.54557,,,
-0.91441,0.91441,,,
0.98719,-0.98719,,,
-0.74025,0.74025,,,
0.25366,-0.25366,,,
0.31505,-0.31505,,,
-0.78186,0.78186,,,
0.99538,-0.99538,,,
-0.88663,0.88663,,,
0.49067,-0.49067,,,
0.06407,-0.06407,,,
-0.59807,0.59807,,,
0.93849,-0.93849,,,
-0.97493,0.97493,,,
0.69572,-0.69572,,,
-0.19109,0.19109,,,
-0.37528,0.37528,,,
0.82015,-0.82015,,,
-0.99948,0.99948,,,
0.85514,-0.85514,,,
-0.43392,0.43392,,,
-0.12778,0.12778,,,
0.64824,-0.64824,,,
-0.95866,0.95866,,,
0.95869,-0.95869,,,
-0.64821,0.64821,,,
0.12791,-0.12791,,,
0.4338,-0.4338,,,
-0.85516,0.85516,,,
0.99949,-0.99949,,,
-0.82022,0.82022,,,
0.37524,-0.37524,,,
0.19114,-0.19114,,,
-0.69563,0.69563,,,
0.97494,-0.97494,,,
-0.93847,0.93847,,,
0.59817,-0.59817,,,
-0.064027,0.064027,,,
-0.49071,0.49071,,,
0.88657,-0.88657,,,
-0.99537,0.99537,,,
0.78184,-0.78184,,,
-0.31517,0.31517,,,
-0.25371,0.25371,,,
0.74028,-0.74028,,,
-0.98717,0.98717,,,
0.91439,-0.91439,,,
-0.54553,0.54553,,,
5.47E-05,-5.47E-05,,,
0.54559,-0.54559,,,
-0.91442,0.91442,,,
0.98719,-0.98719,,,
-0.74023,0.74023,,,
0.25364,-0.25364,,,
0.31507,-0.31507,,,
-0.78177,0.78177,,,
0.99538,-0.99538,,,
-0.88662,0.88662,,,
0.4908,-0.4908,,,
0.064091,-0.064091,,,
-0.59808,0.59808,,,
0.93844,-0.93844,,,
-0.97492,0.97492,,,
0.6957,-0.6957,,,
-0.19124,0.19124,,,
-0.3753,0.3753,,,
0.82016,-0.82016,,,
-0.99948,0.99948,,,
0.85512,-0.85512,,,
-0.4339,0.4339,,,
-0.1278,0.1278,,,
0.64826,-0.64826,,,
-0.95866,0.95866,,,
0.95869,-0.95869,,,
-0.64819,0.64819,,,
0.12789,-0.12789,,,
0.43382,-0.43382,,,
-0.85517,0.85517,,,
0.99949,-0.99949,,,
-0.82021,0.82021,,,
0.37522,-0.37522,,,
0.19116,-0.19116,,,
-0.69564,0.69564,,,
0.97494,-0.97494,,,
-0.93847,0.93847,,,
0.59815,-0.59815,,,
-0.064006,0.064006,,,
-0.49072,0.49072,,,
0.88658,-0.88658,,,
-0.99539,0.99539,,,
0.78182,-0.78182,,,
-0.31515,0.31515,,,
-0.25356,0.25356,,,
0.74029,-0.74029,,,
-0.98718,0.98718,,,
0.91445,-0.91445,,,
-0.54552,0.54552,,,
3.35E-05,-3.35E-05,,,
0.54546,-0.54546,,,
-0.91442,0.91442,,,
0.98719,-0.98719,,,
-0.74034,0.74034,,,
0.25362,-0.25362,,,
0.31509,-0.31509,,,
-0.78178,0.78178,,,
0.99538,-0.99538,,,
